10;35182044322201;0.010000
100;35182111386009;0.250000
50;35182059119001;0.104000
500;35182055297433;7.732000
1000;35182049579417;27.039000
5000;35182086248857;660.553000
10000;35182076864921;2794.235000
15000;35182045979033;6272.193000
20000;35182150158745;11786.987000
25000;35182068130201;18432.746000
30000;35182023731609;30307.325000
35000;35182107130265;36559.915000
40000;35182139181465;47992.910000
45000;35182134851993;58269.319000
50000;35182073643417;72122.089000
55000;35182087782809;97377.680000
